扩展名,用途,变种,出处
.0000,大型资源分卷 0000,0000-9999,https://en.wikipedia.org/wiki/File_splitting
.0001,大型资源分卷 0001,0001,https://en.wikipedia.org/wiki/File_splitting
.0002,大型资源分卷 0002,0002,https://en.wikipedia.org/wiki/File_splitting
.0003,大型资源分卷 0003,0003,https://en.wikipedia.org/wiki/File_splitting
.0004,大型资源分卷 0004,0004,https://en.wikipedia.org/wiki/File_splitting
.0005,大型资源分卷 0005,0005,https://en.wikipedia.org/wiki/File_splitting
.0006,大型资源分卷 0006,0006,https://en.wikipedia.org/wiki/File_splitting
.0007,大型资源分卷 0007,0007,https://en.wikipedia.org/wiki/File_splitting
.0008,大型资源分卷 0008,0008,https://en.wikipedia.org/wiki/File_splitting
.0009,大型资源分卷 0009,0009,https://en.wikipedia.org/wiki/File_splitting
.001,多卷第 1 段,001/002...,https://en.wikipedia.org/wiki/File_splitting
.002,多卷第 2 段,002,https://en.wikipedia.org/wiki/File_splitting
.123,Lotus 1-2-3 工作表常见扩展,Lotus,https://en.wikipedia.org/wiki/Lotus_1-2-3
.3dm,Rhino 3D 模型,3dm v1-v8,https://en.wikipedia.org/wiki/Rhinoceros_3D
.3ds,Autodesk 3D Studio legacy mesh,3DS;chunked binary;16-bit indices;legacy 3DS,https://en.wikipedia.org/wiki/.3ds
.3fr,Hasselblad 3F RAW,3FR/Hasselblad;16-bit;medium-format FFF-variant,https://en.wikipedia.org/wiki/Raw_image_format
.3g2,3GPP2 移动视频,3G2/3GP2,https://en.wikipedia.org/wiki/3GP
.3ga,3GPP 音频容器,AAC/AMR/AMR-WB 容器,https://en.wikipedia.org/wiki/3GP
.3gp,3GPP 移动视频容器,3GP/3GPP,https://en.wikipedia.org/wiki/3GP
.3gp2,3GPP2 标准视频,3GP2,https://en.wikipedia.org/wiki/3GP
.3gpp,3GPP 标准视频,3GPP,https://en.wikipedia.org/wiki/3GP
.669,Composer 669 / UNIS 669 模块,669,https://en.wikipedia.org/wiki/669_(tracker)
.7z,7-Zip 归档,7Z/7z,https://en.wikipedia.org/wiki/7z
.7z.001,7-Zip 多卷第一段,7z.001,https://en.wikipedia.org/wiki/7z
.7z.002,7-Zip 多卷第二段,7z.002,https://en.wikipedia.org/wiki/7z
._test.go,Go 测试文件后缀 (foo_test.go),testing,https://go.dev/doc/code#Testing
._test.py,Python pytest 文件名模式 (foo_test.py),pytest,https://docs.pytest.org/
.a,Unix 静态库,.a archive,https://en.wikipedia.org/wiki/Static_library
.aa,Audible Audiobook AA,AA format,https://en.wikipedia.org/wiki/Audible_(service)
.aab,Android App Bundle,AAB,https://en.wikipedia.org/wiki/Android_App_Bundle
.aac,Advanced Audio Coding MPEG-2/4 有损,HE-AAC/AAC-LC/AAC-LD/xHE-AAC,https://en.wikipedia.org/wiki/Advanced_Audio_Coding
.aax,Audible Enhanced Format AAX,AAX AAX+,https://en.wikipedia.org/wiki/Audible_(service)
.aax+,Audible Enhanced Plus,AAX+ with DRM,https://en.wikipedia.org/wiki/Audible_(service)
.ab,Unity Asset Bundle,AB/AAB,https://en.wikipedia.org/wiki/Unity_(game_engine)
.abc,Alembic 3D interchange,Alembic 1.0-2.0;Ogawa (binary) or HDF5;animation;caching,https://en.wikipedia.org/wiki/Alembic_(computer_graphics)
.abi,Applied Biosystems trace file,ABIF;DNA sequencer trace,https://en.wikipedia.org/wiki/Applied_Biosystems
.abi,Android Application Binary Interface,abi,https://developer.android.com/ndk/guides/abis
.ac3,Dolby Digital AC-3 5.1 音频,Dolby Digital/Dolby Digital Plus,https://en.wikipedia.org/wiki/Dolby_Digital
.accdb,Microsoft Access 2007+ database,Access 2007-365;ACCDB;VBA,https://en.wikipedia.org/wiki/Microsoft_Access
.accde,Access 2007+ compiled (no source),Access ACCDE;compile-only,https://en.wikipedia.org/wiki/Microsoft_Access
.accdr,Access runtime,Access runtime,https://en.wikipedia.org/wiki/Microsoft_Access
.accdt,Access 2007+ template,Access template,https://en.wikipedia.org/wiki/Microsoft_Access
